num_nodes,num_edges,avg_degree,density,num_unknown_nodes,num_socket_syscalls,num_open_syscalls,num_read_syscalls,num_write_syscalls,num_dup_syscalls,num_accept4_syscalls,num_close_syscalls,num_openat_syscalls,num_connect_syscalls,num_recv_syscalls,max_degree_centrality,avg_degree_centrality,max_betweenness_centrality,avg_betweenness_centrality,max_closeness_centrality,avg_closeness_centrality,num_connected_components,largest_cc_num_nodes,largest_cc_num_edges,degree_assortativity,node_connectivity,edge_connectivity,degree_std,degree_skewness,degree_kurtosis,num_unlinkat_syscalls,num_execve_syscalls,num_dup3_syscalls,num_clone_syscalls,num_bind_syscalls,num_dup2_syscalls,num_vfork_syscalls,num_send_syscalls
256,751,5.8671875,0.011504289215686275,256,6.0,212,229,29,16,1.0,230,19,8.0,1.0,0.8,0.02300857843137252,0.0,0.0,0.027450980392156862,0.003921568627450968,11,105,308,-0.3279536838849821,0,0,18.22981379059709,8.38799740772822,80.03516342494885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,2125,6.888168557536467,0.005591045907091288,617,8.0,560,811,35,22,0.0,593,81,8.0,1.0,2.230519480519481,0.011182091814182591,0.0018701826628655896,4.5562612270126995e-06,0.009943181818181818,0.0021056421807463697,10,461,1654,0.056033895510014135,0,0,56.744033930971725,22.893318105157697,548.1197574582479,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
629,2141,6.807631160572337,0.005420088503640396,629,12.0,558,809,41,22,1.0,597,81,12.0,1.0,2.187898089171975,0.010840177007280846,0.0017993376608864372,4.308108072577319e-06,0.012898089171974523,0.0020605381648843672,10,475,1691,0.05018280232551991,0,0,56.033571066276636,23.286476716591768,565.3893041743083,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
640,2141,6.690625,0.00523523082942097,640,12.0,554,806,51,22,1.0,593,81,12.0,1.0,2.1502347417840375,0.010470461658841915,0.0017378741273835982,4.089431223355458e-06,0.01267605633802817,0.0019975970793899263,18,477,1694,0.04704196777595651,0,0,55.51937645641722,23.527383083847834,576.7012087402866,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
635,2128,6.70236220472441,0.005285774609404109,635,12.0,550,808,46,22,1.0,589,80,12.0,1.0,2.167192429022082,0.01057154921880827,0.0017654153024254837,4.186949533367025e-06,0.012776025236593061,0.0020167845738525486,18,472,1678,0.05187152428647482,0,0,55.72190152337426,23.453763906118077,572.828995382611,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
270,772,5.718518518518518,0.010629216577171967,270,6.0,214,236,39,16,1.0,232,19,8.0,1.0,0.758364312267658,0.0212584331543438,0.0,0.0,0.026022304832713755,0.0036623984579375016,15,109,319,-0.30259017307833624,0,0,17.80809297996252,8.56251052011247,83.68606036984905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,1336,6.004494382022472,0.006761817997773054,445,6.0,383,457,18,22,1.0,411,28,4.0,0.0,1.3761261261261262,0.013523635995546224,0.0017311329388078824,5.860985646411877e-06,0.016016016016016016,0.002696175308534846,13,290,893,0.04880712720307176,0,0,32.076313183422116,16.098351046127167,289.8967548296455,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
603,2049,6.796019900497512,0.005644534801077668,603,10.0,525,791,44,22,1.0,559,81,12.0,1.0,2.2823920265780733,0.011289069602155376,0.00196516326609582,4.890757662517791e-06,0.011212624584717609,0.002138427201649305,18,439,1592,0.04423068347817909,0,0,56.985376938493246,23.076574721701693,551.4274182821126,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
616,2101,6.821428571428571,0.005545876887340302,616,8.0,555,795,37,22,0.0,588,81,8.0,1.0,2.234146341463415,0.011091753774680696,0.0018762744630703636,4.5785230896854e-06,0.009959349593495936,0.0021019312504504217,13,461,1654,0.055161285707398554,0,0,56.583038007577635,23.087546640242827,555.2204561285433,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
620,2099,6.7709677419354835,0.005469279274584397,620,8.0,552,799,38,22,0.0,585,80,8.0,1.0,2.2197092084006464,0.010938558549168875,0.0018520842155893993,4.4903355330496286e-06,0.009894991922455573,0.002072269620409187,18,457,1643,0.06566312256550744,0,0,56.39562836837156,23.171326151263752,559.0882086070744,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
612,2094,6.8431372549019605,0.0055999486537659255,612,8.0,551,797,36,22,0.0,584,80,8.0,1.0,2.248772504091653,0.011199897307531978,0.0019009417509591908,4.669035116931052e-06,0.010024549918166939,0.0021188227670288586,13,457,1646,0.05361574120101018,0,0,56.77260773339941,23.007667761532385,551.4042435647169,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
286,818,5.72027972027972,0.010035578456631089,286,6.0,231,240,25,32,1.0,257,19,6.0,1.0,0.8350877192982457,0.020071156913262136,0.0,0.0,0.02456140350877193,0.0035823825297509595,12,106,296,-0.30927443643009894,0,0,18.901809435124367,9.38884040340381,101.12736697539364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,2182,6.693251533742331,0.005140746185669993,652,12.0,564,810,44,38,1.0,611,81,12.0,1.0,2.110599078341014,0.01028149237133997,0.001674347158218126,3.867430148847129e-06,0.012442396313364057,0.001978874646808847,15,476,1688,0.05464542477531414,0,0,55.04850970476742,23.692764687401183,585.6635499582964,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
259,737,5.691119691119691,0.011029301726976146,259,6.0,209,225,25,16,1.0,227,19,8.0,1.0,0.7906976744186046,0.022058603453952313,1.5081591409525533e-05,5.823008266226074e-08,0.027131782945736434,0.003836061975596866,13,107,298,-0.33424939583697816,0,0,17.961487067200505,8.631620671217117,84.21206571731369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,740,5.648854961832061,0.010821561229563336,262,6.0,212,223,25,16,1.0,230,19,8.0,0.0,0.789272030651341,0.021643122459126682,0.0,0.0,0.02681992337164751,0.0038021701617384773,13,107,297,-0.3325588130369602,0,0,17.952619432562322,8.708447253288002,85.81459071836821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,739,5.0272108843537415,0.00857885816442618,294,4.0,229,175,13,16,1.0,258,31,4.0,0.0,0.7030716723549488,0.017157716328852338,0.0005376595446257422,3.1407204987750393e-06,0.019857275829972078,0.0035075980956039607,14,118,264,-0.09112982805036751,0,0,16.698179288190726,9.559458379574792,101.75126854044055,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
284,900,6.338028169014085,0.011197929627233365,284,10.0,227,292,33,16,1.0,253,54,12.0,1.0,0.9681978798586572,0.0223958592544668,2.5060772373004537e-05,8.824215624297372e-08,0.02120141342756184,0.003529421523250236,12,127,448,0.11451949032378698,0,0,23.07256993565793,9.113780928889321,90.31438592663922,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
273,814,5.9633699633699635,0.010962077138547726,273,6.0,221,261,42,16,1.0,239,19,8.0,1.0,0.8786764705882353,0.021924154277095518,0.0,0.0,0.025735294117647058,0.0036226028873087585,15,106,334,-0.35139577932984045,0,0,19.3681920521411,9.093296080645095,95.84320890913354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
